Class,X,Y,XTran,YTran,isothermality_2010_1kmTran,jan_rad_2010_1kmTran,mintempjuly_2010_1kmTran,precip_pet_ratio_2010_1kmTran
7,147.385000,-41.877500,0.392479,0.320123,1.049114,0.395496,0.501778,0.047292
7,147.505000,-41.877500,0.405635,0.320123,1.054011,0.304619,0.501129,0.040909
7,147.625000,-41.877500,0.418791,0.320123,1.019780,0.206995,0.391930,0.306424
7,147.745000,-41.877500,0.431947,0.320123,1.020800,0.206887,0.423698,0.292779
7,147.865000,-41.877500,0.445102,0.320123,0.964059,0.202394,0.399763,0.517927
7,147.985000,-41.877500,0.458258,0.320123,1.021164,0.206537,0.507857,0.280100
7,148.105000,-41.877500,0.471414,0.320123,1.059852,0.206921,0.621568,0.158626
7,148.225000,-41.877500,0.484569,0.320123,1.066172,0.206952,0.675028,0.192666
4,145.095000,-41.757500,0.141424,0.306967,1.007624,0.187872,0.704470,1.074527
4,145.215000,-41.757500,0.154580,0.306967,1.010522,0.167127,0.676455,1.253103
4,145.335000,-41.757500,0.167736,0.306967,0.965848,0.087179,0.615258,1.516431
4,145.455000,-41.757500,0.180891,0.306967,1.019960,0.162633,0.649004,1.220436
4,145.575000,-41.757500,0.194047,0.306967,0.933065,0.082007,0.540469,1.565203
4,145.695000,-41.757500,0.207203,0.306967,1.011160,0.117616,0.574833,1.378045
4,145.815000,-41.757500,0.220359,0.306967,0.877380,0.131892,0.430472,1.536076
4,145.935000,-41.757500,0.233514,0.306967,0.738372,0.137957,0.321755,1.558354
4,146.055000,-41.757500,0.246670,0.306967,0.925051,0.134642,0.369970,1.330239
4,146.175000,-41.757500,0.259826,0.306967,0.951073,0.187568,0.337700,1.143333
5,146.295000,-41.757500,0.272981,0.306967,0.401333,0.188435,0.043249,1.367963
5,146.415000,-41.757500,0.286137,0.306967,0.627881,0.200637,0.050373,1.170678
5,146.535000,-41.757500,0.299293,0.306967,0.695866,0.204169,0.025443,1.086271
5,146.655000,-41.757500,0.312449,0.306967,0.743476,0.206435,0.011764,1.017990
6,146.775000,-41.757500,0.325604,0.306967,0.813314,0.206773,0.037105,0.910045
7,146.895000,-41.757500,0.338760,0.306967,1.030152,0.218104,0.410827,0.370916
7,147.015000,-41.757500,0.351916,0.306967,1.034758,0.267708,0.479783,0.169005
7,147.135000,-41.757500,0.365072,0.306967,1.033323,0.394370,0.515858,0.084684
7,147.255000,-41.757500,0.378227,0.306967,1.028746,0.264629,0.482031,0.141264
7,147.375000,-41.757500,0.391383,0.306967,1.038787,0.416930,0.527856,0.062783
7,147.495000,-41.757500,0.404539,0.306967,1.043760,0.360891,0.517978,0.064679
7,147.615000,-41.757500,0.417694,0.306967,1.032862,0.228015,0.469955,0.143445
7,147.735000,-41.757500,0.430850,0.306967,1.057138,0.341786,0.531320,0.040071
7,147.855000,-41.757500,0.444006,0.306967,1.022993,0.234361,0.470611,0.234237
7,147.975000,-41.757500,0.457162,0.306967,1.012496,0.206576,0.478227,0.384403
7,148.095000,-41.757500,0.470317,0.306967,1.022156,0.205829,0.551873,0.320333
7,148.215000,-41.757500,0.483473,0.306967,1.020982,0.188061,0.590071,0.428127
4,144.975000,-41.637500,0.128268,0.293811,1.011059,0.197090,0.730569,0.997063
4,145.095000,-41.637500,0.141424,0.293811,1.020615,0.194319,0.724398,1.035853
4,145.215000,-41.637500,0.154580,0.293811,0.998570,0.160651,0.660947,1.243361
4,145.335000,-41.637500,0.167736,0.293811,0.908401,0.138946,0.597987,1.480988
4,145.455000,-41.637500,0.180891,0.293811,1.016107,0.178015,0.643318,1.165761
4,145.575000,-41.637500,0.194047,0.293811,0.955978,0.158001,0.561589,1.388602
4,145.695000,-41.637500,0.207203,0.293811,0.988587,0.148379,0.562639,1.262644
4,145.815000,-41.637500,0.220359,0.293811,0.746780,0.118296,0.406331,1.533139
4,145.935000,-41.637500,0.233514,0.293811,0.651404,0.142423,0.329455,1.541068
4,146.055000,-41.637500,0.246670,0.293811,0.947363,0.133978,0.434464,1.232291
4,146.175000,-41.637500,0.259826,0.293811,0.923092,0.190029,0.368464,1.183779
5,146.295000,-41.637500,0.272981,0.293811,0.754628,0.159624,0.218806,1.324404
6,146.415000,-41.637500,0.286137,0.293811,1.016962,0.204843,0.429652,0.773421
